Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Notes,GPX File
2015-01-25 16:12:13,Running,,3.36,27:27,8:10,7.34,427.691670750972,122.06,,,2015-01-25-1612.gpx
2015-01-22 18:24:07,Running,,2.40,19:33,8:09,7.36,305.631113129646,78.32,,,2015-01-22-1824.gpx
2015-01-21 18:45:11,Running,,2.51,21:33,8:35,6.99,319.221088658721,89.36,,,2015-01-21-1845.gpx
2015-01-19 17:27:38,Running,,2.43,20:43,8:32,7.03,309.173065240085,103.64,,,2015-01-19-1727.gpx
2015-01-18 12:38:54,Running,,2.38,18:10,7:39,7.85,303.973135583789,100.05,,,2015-01-18-1238.gpx
2015-01-17 16:38:28,Running,,3.34,26:38,7:58,7.53,429.49065173844,193.99,,,2015-01-17-1638.gpx
2015-01-13 18:15:33,Running,,2.53,21:01,8:19,7.22,324.71603780587,94.77,,,2015-01-13-1815.gpx
2015-01-12 17:39:01,Running,,2.45,19:20,7:53,7.61,314.176779612854,100.66,,,2015-01-12-1739.gpx
2015-01-10 16:25:52,Running,,2.83,24:24,8:38,6.95,360.595934615691,97.80,,,2015-01-10-1625.gpx
2015-01-06 17:04:17,Running,,1.28,10:49,8:26,7.12,165.120867012388,55.67,,"iPhone died of cold",2015-01-06-1704.gpx
2015-01-04 16:44:52,Running,,2.46,20:34,8:23,7.16,317.858541921661,97.68,,,2015-01-04-1644.gpx
2015-01-03 16:30:13,Running,,2.53,20:10,7:59,7.51,328.417732125431,97.76,,,2015-01-03-1630.gpx
2015-01-01 15:47:44,Running,,3.44,28:52,8:24,7.15,442.227555272583,121.64,,,2015-01-01-1547.gpx
2014-12-31 16:23:20,Running,,2.56,21:53,8:33,7.01,333.309839913083,101.33,,,2014-12-31-1623.gpx
2014-12-30 16:53:25,Running,,2.50,21:37,8:39,6.94,323.146607746389,96.47,,,2014-12-30-1653.gpx
2014-12-27 15:54:45,Walking,,3.54,54:20,15:22,3.90,367.825033778706,174.17,,,2014-12-27-1554.gpx
2014-12-25 13:17:02,Running,,3.06,31:27,10:16,5.84,377.506131960217,139.44,,,2014-12-25-1317.gpx
2014-12-24 15:37:56,Walking,,3.38,59:20,17:34,3.42,315.290209138454,65.68,,,2014-12-24-1537.gpx
